Timestamp,SLM00548_Load,SLM00547_Load,SLM00546_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-11-08,32.0,31.0,,1.0,83.3,16.7,0.0,Jim O'Brien
2021-11-09,31.0,31.0,,1.0,58.3,41.7,0.0,Jim O'Brien
2021-11-10,26.0,28.0,55.0,1.0,91.7,8.3,0.0,Jim O'Brien
2021-11-11,26.0,27.0,16.0,1.0,79.2,16.7,4.2,Jim O'Brien
2021-11-12,,28.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-11-13,,28.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-11-14,27.0,30.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2021-11-15,9.0,32.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2021-11-16,33.0,37.0,43.0,2.0,33.3,66.7,0.0,Jim O'Brien
2021-11-17,,36.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-11-18,35.0,33.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-11-19,33.0,33.0,,1.0,83.3,16.7,0.0,Jim O'Brien
2021-11-20,26.0,31.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2021-11-21,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-11-22,31.0,30.0,10.0,1.0,75.0,20.8,4.2,Jim O'Brien
2021-11-23,29.0,29.0,,1.0,83.3,16.7,0.0,Jim O'Brien
2021-11-24,32.0,31.0,,2.0,50.0,50.0,0.0,Jim O'Brien
2021-11-25,28.0,28.0,42.0,2.0,58.3,12.5,29.2,Jim O'Brien
2021-11-26,35.0,35.0,42.0,2.0,33.3,45.8,20.8,Jim O'Brien
2021-11-27,29.0,31.0,16.0,2.0,54.2,41.7,4.2,Jim O'Brien
2021-11-28,31.0,29.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2021-11-29,20.0,31.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2021-11-30,29.0,33.0,,1.0,91.7,4.2,0.0,Jim O'Brien
2021-12-01,34.0,34.0,,1.0,75.0,25.0,0.0,Jim O'Brien
2021-12-02,43.0,45.0,9.0,2.0,0.0,95.8,4.2,Jim O'Brien
2021-12-03,31.0,29.0,,1.0,79.2,16.7,0.0,Jim O'Brien
2021-12-04,,26.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-05,46.0,43.0,,2.0,16.7,83.3,0.0,Jim O'Brien
2021-12-06,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-07,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-08,,28.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-09,26.0,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-10,30.0,31.0,,1.0,95.8,0.0,0.0,Jim O'Brien
2021-12-11,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-12,50.0,30.0,,1.0,91.7,8.3,0.0,Jim O'Brien
2021-12-13,31.0,38.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2021-12-14,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-15,29.0,,9.0,1.0,95.8,4.2,0.0,Jim O'Brien
2021-12-16,31.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-17,31.0,42.0,,1.0,83.3,16.7,0.0,Jim O'Brien
2021-12-18,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-19,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-20,35.0,,41.0,1.0,62.5,37.5,0.0,Jim O'Brien
2021-12-21,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-22,38.0,34.0,,1.0,83.3,16.7,0.0,Jim O'Brien
2021-12-23,9.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2021-12-24,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-25,36.0,31.0,,1.0,91.7,8.3,0.0,Jim O'Brien
2021-12-26,44.0,37.0,,1.0,66.7,33.3,0.0,Jim O'Brien
2021-12-27,,32.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2021-12-28,42.0,34.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2021-12-29,40.0,46.0,51.0,2.0,0.0,95.8,4.2,Jim O'Brien
2021-12-30,,26.0,31.0,1.0,95.8,4.2,0.0,Jim O'Brien
2021-12-31,22.0,26.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2022-01-01,,26.0,17.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-01-02,51.0,42.0,,2.0,37.5,62.5,0.0,Jim O'Brien
2022-01-03,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-04,30.0,32.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2022-01-05,,32.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-06,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-07,45.0,33.0,,1.0,75.0,20.8,0.0,Jim O'Brien
2022-01-08,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-09,38.0,32.0,,1.0,91.7,8.3,0.0,Jim O'Brien
2022-01-10,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-11,24.0,29.0,,1.0,70.8,29.2,0.0,Jim O'Brien
2022-01-12,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-13,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-14,32.0,31.0,,1.0,83.3,16.7,0.0,Jim O'Brien
2022-01-15,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-16,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-17,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-18,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-19,30.0,27.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-01-20,29.0,29.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-01-21,,30.0,24.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-01-22,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-23,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-24,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-25,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-01-26,,40.0,47.0,2.0,33.3,66.7,0.0,Jim O'Brien
2022-01-27,,29.0,29.0,1.0,83.3,16.7,0.0,Jim O'Brien
2022-01-28,17.0,29.0,32.0,1.0,75.0,20.8,4.2,Jim O'Brien
2022-01-29,16.0,48.0,51.0,2.0,8.3,87.5,4.2,Jim O'Brien
2022-01-30,,35.0,36.0,2.0,41.7,58.3,0.0,Jim O'Brien
2022-01-31,40.0,37.0,41.0,2.0,16.7,83.3,0.0,Jim O'Brien
2022-02-01,36.0,30.0,32.0,1.0,83.3,16.7,0.0,Jim O'Brien
2022-02-02,34.0,31.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-02-03,33.0,30.0,,1.0,91.7,8.3,0.0,Jim O'Brien
2022-02-04,35.0,34.0,,1.0,62.5,37.5,0.0,Jim O'Brien
2022-02-05,29.0,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-06,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-07,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-08,38.0,29.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-02-09,31.0,29.0,,1.0,75.0,25.0,0.0,Jim O'Brien
2022-02-10,,30.0,31.0,1.0,83.3,16.7,0.0,Jim O'Brien
2022-02-11,,36.0,36.0,1.0,79.2,20.8,0.0,Jim O'Brien
2022-02-12,41.0,33.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-13,,39.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-14,34.0,29.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-02-15,33.0,,27.0,1.0,91.7,8.3,0.0,Jim O'Brien
2022-02-16,29.0,27.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-17,28.0,31.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-02-18,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-19,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-20,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-21,,28.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-22,,28.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-02-23,16.0,31.0,36.0,1.0,70.8,29.2,0.0,Jim O'Brien
2022-02-24,30.0,35.0,34.0,2.0,37.5,62.5,0.0,Jim O'Brien
2022-02-25,37.0,27.0,28.0,1.0,75.0,25.0,0.0,Jim O'Brien
2022-02-26,41.0,38.0,,2.0,33.3,66.7,0.0,Jim O'Brien
2022-02-27,33.0,33.0,,2.0,4.2,95.8,0.0,Jim O'Brien
2022-02-28,28.0,29.0,,2.0,37.5,62.5,0.0,Jim O'Brien
2022-03-01,29.0,29.0,53.0,2.0,37.5,25.0,37.5,Jim O'Brien
2022-03-02,28.0,28.0,53.0,2.0,20.8,20.8,58.3,Jim O'Brien
2022-03-03,25.0,28.0,54.0,2.0,41.7,4.2,54.2,Jim O'Brien
2022-03-04,24.0,26.0,54.0,2.0,20.8,20.8,58.3,Jim O'Brien
2022-03-05,30.0,32.0,53.0,2.0,37.5,25.0,37.5,Jim O'Brien
2022-03-06,30.0,38.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-03-07,29.0,,59.0,1.0,91.7,8.3,0.0,Jim O'Brien
2022-03-08,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-03-09,31.0,37.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-03-10,37.0,37.0,,2.0,37.5,62.5,0.0,Jim O'Brien
2022-03-11,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-03-12,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-03-13,,29.0,,1.0,95.8,0.0,0.0,Jim O'Brien
2022-03-14,45.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-03-15,41.0,34.0,,1.0,66.7,33.3,0.0,Jim O'Brien
2022-03-16,23.0,29.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-03-17,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-03-18,24.0,30.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-03-19,40.0,31.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2022-03-20,28.0,30.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2022-03-21,45.0,32.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-03-22,29.0,30.0,32.0,1.0,91.7,8.3,0.0,Jim O'Brien
2022-03-23,,39.0,45.0,2.0,37.5,62.5,0.0,Jim O'Brien
2022-03-24,,36.0,34.0,1.0,62.5,37.5,0.0,Jim O'Brien
2022-03-25,,26.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-03-26,38.0,32.0,26.0,1.0,62.5,37.5,0.0,Jim O'Brien
2022-03-27,41.0,48.0,,2.0,33.3,66.7,0.0,Jim O'Brien
2022-03-28,49.0,31.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-03-29,28.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-03-30,,28.0,34.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-03-31,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-01,42.0,40.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-04-02,,33.0,41.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-04-03,,32.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-04,34.0,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-05,33.0,42.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-04-06,34.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-07,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-08,30.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-09,38.0,,41.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-04-10,,34.0,30.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-04-11,27.0,36.0,48.0,1.0,75.0,4.2,20.8,Jim O'Brien
2022-04-12,42.0,,26.0,1.0,91.7,8.3,0.0,Jim O'Brien
2022-04-13,31.0,30.0,33.0,1.0,87.5,12.5,0.0,Jim O'Brien
2022-04-14,30.0,16.0,58.0,1.0,95.8,0.0,4.2,Jim O'Brien
2022-04-15,31.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-16,30.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-17,29.0,,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-18,29.0,29.0,57.0,1.0,91.7,4.2,0.0,Jim O'Brien
2022-04-19,38.0,36.0,,2.0,37.5,62.5,0.0,Jim O'Brien
2022-04-20,31.0,34.0,,2.0,45.8,54.2,0.0,Jim O'Brien
2022-04-21,28.0,31.0,,1.0,70.8,29.2,0.0,Jim O'Brien
2022-04-22,39.0,32.0,68.0,1.0,62.5,37.5,0.0,Jim O'Brien
2022-04-23,48.0,35.0,,1.0,70.8,29.2,0.0,Jim O'Brien
2022-04-24,42.0,33.0,,1.0,79.2,20.8,0.0,Jim O'Brien
2022-04-25,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-04-26,,30.0,29.0,1.0,83.3,16.7,0.0,Jim O'Brien
2022-04-27,55.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-04-28,36.0,32.0,,1.0,87.5,12.5,0.0,Jim O'Brien
2022-04-29,,,,0.0,0.0,0.0,0.0,Jim O'Brien
2022-04-30,,,,0.0,0.0,0.0,0.0,Jim O'Brien
2022-05-01,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-02,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-03,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-04,29.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-05,41.0,38.0,,1.0,70.8,29.2,0.0,Jim O'Brien
2022-05-06,30.0,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-07,,29.0,74.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-08,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-09,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-10,36.0,33.0,,1.0,66.7,33.3,0.0,Jim O'Brien
2022-05-11,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-12,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-13,,29.0,,1.0,91.7,0.0,0.0,Jim O'Brien
2022-05-14,,29.0,,1.0,91.7,0.0,0.0,Jim O'Brien
2022-05-15,,33.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-16,26.0,30.0,,1.0,91.7,8.3,0.0,Jim O'Brien
2022-05-17,30.0,,44.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-18,42.0,47.0,49.0,2.0,16.7,79.2,4.2,Jim O'Brien
2022-05-19,25.0,16.0,40.0,1.0,66.7,29.2,4.2,Jim O'Brien
2022-05-20,25.0,,31.0,1.0,83.3,16.7,0.0,Jim O'Brien
2022-05-21,23.0,25.0,27.0,1.0,70.8,25.0,0.0,Jim O'Brien
2022-05-22,,25.0,26.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-23,15.0,33.0,45.0,2.0,25.0,70.8,4.2,Jim O'Brien
2022-05-24,,36.0,50.0,1.0,66.7,33.3,0.0,Jim O'Brien
2022-05-25,,29.0,64.0,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-26,28.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-27,30.0,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-28,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-29,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-05-30,31.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
2022-05-31,32.0,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-01,,32.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-02,,33.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-03,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-04,,29.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-05,,30.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-06,,31.0,,1.0,100.0,0.0,0.0,Jim O'Brien
2022-06-07,29.0,30.0,100.0,1.0,91.7,4.2,0.0,Jim O'Brien
2022-06-08,28.0,29.0,96.0,1.0,91.7,8.3,0.0,Jim O'Brien
2022-06-09,15.0,30.0,,1.0,95.8,4.2,0.0,Jim O'Brien
